"","year","week","province","count"
"4047",2016,39,"Hasakeh",2
"4048",2016,39,"Aleppo",153
"4049",2016,39,"Raqqa",0
"4050",2016,39,"Sweida",0
"4051",2016,39,"Damascus",4
"4052",2016,39,"Daraa",15
"4053",2016,39,"Deir.Ezzor",9
"4054",2016,39,"Hama",48
"4055",2016,39,"Homs",15
"4056",2016,39,"Idlib",52
"4057",2016,39,"Lattakia",0
"4058",2016,39,"Quneitra",3
"4059",2016,39,"Damascus.Suburbs",44
"4060",2016,39,"Tartous",0
"4061",2016,40,"Hasakeh",0
"4062",2016,40,"Aleppo",169
"4063",2016,40,"Raqqa",0
"4064",2016,40,"Sweida",0
"4065",2016,40,"Damascus",6
"4066",2016,40,"Daraa",35
"4067",2016,40,"Deir.Ezzor",20
"4068",2016,40,"Hama",22
"4069",2016,40,"Homs",13
"4070",2016,40,"Idlib",20
"4071",2016,40,"Lattakia",0
"4072",2016,40,"Quneitra",0
"4073",2016,40,"Damascus.Suburbs",44
"4074",2016,40,"Tartous",0
"4075",2016,41,"Hasakeh",0
"4076",2016,41,"Aleppo",204
"4077",2016,41,"Raqqa",0
"4078",2016,41,"Sweida",0
"4079",2016,41,"Damascus",4
"4080",2016,41,"Daraa",20
"4081",2016,41,"Deir.Ezzor",8
"4082",2016,41,"Hama",24
"4083",2016,41,"Homs",23
"4084",2016,41,"Idlib",42
"4085",2016,41,"Lattakia",0
"4086",2016,41,"Quneitra",0
"4087",2016,41,"Damascus.Suburbs",29
"4088",2016,41,"Tartous",1
"4089",2016,42,"Hasakeh",0
"4090",2016,42,"Aleppo",120
"4091",2016,42,"Raqqa",0
"4092",2016,42,"Sweida",0
"4093",2016,42,"Damascus",5
"4094",2016,42,"Daraa",9
"4095",2016,42,"Deir.Ezzor",5
"4096",2016,42,"Hama",32
"4097",2016,42,"Homs",19
"4098",2016,42,"Idlib",41
"4099",2016,42,"Lattakia",1
"4100",2016,42,"Quneitra",2
"4101",2016,42,"Damascus.Suburbs",33
"4102",2016,42,"Tartous",0
"4103",2016,43,"Hasakeh",0
"4104",2016,43,"Aleppo",91
"4105",2016,43,"Raqqa",3
"4106",2016,43,"Sweida",0
"4107",2016,43,"Damascus",4
"4108",2016,43,"Daraa",50
"4109",2016,43,"Deir.Ezzor",3
"4110",2016,43,"Hama",14
"4111",2016,43,"Homs",22
"4112",2016,43,"Idlib",121
"4113",2016,43,"Lattakia",1
"4114",2016,43,"Quneitra",2
"4115",2016,43,"Damascus.Suburbs",48
"4116",2016,43,"Tartous",0
"4117",2016,44,"Hasakeh",0
"4118",2016,44,"Aleppo",128
"4119",2016,44,"Raqqa",0
"4120",2016,44,"Sweida",0
"4121",2016,44,"Damascus",5
"4122",2016,44,"Daraa",11
"4123",2016,44,"Deir.Ezzor",6
"4124",2016,44,"Hama",17
"4125",2016,44,"Homs",25
"4126",2016,44,"Idlib",65
"4127",2016,44,"Lattakia",0
"4128",2016,44,"Quneitra",2
"4129",2016,44,"Damascus.Suburbs",44
"4130",2016,44,"Tartous",0
"4131",2016,45,"Hasakeh",1
"4132",2016,45,"Aleppo",99
"4133",2016,45,"Raqqa",21
"4134",2016,45,"Sweida",0
"4135",2016,45,"Damascus",1
"4136",2016,45,"Daraa",5
"4137",2016,45,"Deir.Ezzor",4
"4138",2016,45,"Hama",14
"4139",2016,45,"Homs",23
"4140",2016,45,"Idlib",92
"4141",2016,45,"Lattakia",0
"4142",2016,45,"Quneitra",0
"4143",2016,45,"Damascus.Suburbs",66
"4144",2016,45,"Tartous",0
"4145",2016,46,"Hasakeh",0
"4146",2016,46,"Aleppo",229
"4147",2016,46,"Raqqa",0
"4148",2016,46,"Sweida",0
"4149",2016,46,"Damascus",1
"4150",2016,46,"Daraa",7
"4151",2016,46,"Deir.Ezzor",3
"4152",2016,46,"Hama",45
"4153",2016,46,"Homs",26
"4154",2016,46,"Idlib",51
"4155",2016,46,"Lattakia",0
"4156",2016,46,"Quneitra",0
"4157",2016,46,"Damascus.Suburbs",63
"4158",2016,46,"Tartous",0
"4159",2016,47,"Hasakeh",0
"4160",2016,47,"Aleppo",227
"4161",2016,47,"Raqqa",3
"4162",2016,47,"Sweida",0
"4163",2016,47,"Damascus",2
"4164",2016,47,"Daraa",25
"4165",2016,47,"Deir.Ezzor",0
"4166",2016,47,"Hama",25
"4167",2016,47,"Homs",24
"4168",2016,47,"Idlib",52
"4169",2016,47,"Lattakia",1
"4170",2016,47,"Quneitra",0
"4171",2016,47,"Damascus.Suburbs",34
"4172",2016,47,"Tartous",0
"4173",2016,48,"Hasakeh",0
"4174",2016,48,"Aleppo",144
"4175",2016,48,"Raqqa",2
"4176",2016,48,"Sweida",0
"4177",2016,48,"Damascus",1
"4178",2016,48,"Daraa",7
"4179",2016,48,"Deir.Ezzor",4
"4180",2016,48,"Hama",30
"4181",2016,48,"Homs",25
"4182",2016,48,"Idlib",83
"4183",2016,48,"Lattakia",0
"4184",2016,48,"Quneitra",0
"4185",2016,48,"Damascus.Suburbs",25
"4186",2016,48,"Tartous",0
"4187",2016,49,"Hasakeh",0
"4188",2016,49,"Aleppo",167
"4189",2016,49,"Raqqa",3
"4190",2016,49,"Sweida",0
"4191",2016,49,"Damascus",1
"4192",2016,49,"Daraa",15
"4193",2016,49,"Deir.Ezzor",5
"4194",2016,49,"Hama",8
"4195",2016,49,"Homs",21
"4196",2016,49,"Idlib",36
"4197",2016,49,"Lattakia",0
"4198",2016,49,"Quneitra",0
"4199",2016,49,"Damascus.Suburbs",29
"4200",2016,49,"Tartous",0
"4201",2016,50,"Hasakeh",0
"4202",2016,50,"Aleppo",101
"4203",2016,50,"Raqqa",0
"4204",2016,50,"Sweida",0
"4205",2016,50,"Damascus",1
"4206",2016,50,"Daraa",6
"4207",2016,50,"Deir.Ezzor",17
"4208",2016,50,"Hama",41
"4209",2016,50,"Homs",22
"4210",2016,50,"Idlib",16
"4211",2016,50,"Lattakia",0
"4212",2016,50,"Quneitra",1
"4213",2016,50,"Damascus.Suburbs",17
"4214",2016,50,"Tartous",0
"4215",2016,51,"Hasakeh",0
"4216",2016,51,"Aleppo",111
"4217",2016,51,"Raqqa",0
"4218",2016,51,"Sweida",0
"4219",2016,51,"Damascus",4
"4220",2016,51,"Daraa",17
"4221",2016,51,"Deir.Ezzor",10
"4222",2016,51,"Hama",2
"4223",2016,51,"Homs",5
"4224",2016,51,"Idlib",8
"4225",2016,51,"Lattakia",0
"4226",2016,51,"Quneitra",0
"4227",2016,51,"Damascus.Suburbs",33
"4228",2016,51,"Tartous",0
"4229",2016,52,"Hasakeh",0
"4230",2016,52,"Aleppo",42
"4231",2016,52,"Raqqa",0
"4232",2016,52,"Sweida",0
"4233",2016,52,"Damascus",3
"4234",2016,52,"Daraa",10
"4235",2016,52,"Deir.Ezzor",16
"4236",2016,52,"Hama",3
"4237",2016,52,"Homs",2
"4238",2016,52,"Idlib",13
"4239",2016,52,"Lattakia",0
"4240",2016,52,"Quneitra",0
"4241",2016,52,"Damascus.Suburbs",54
"4242",2016,52,"Tartous",0
"4243",2016,53,"Hasakeh",0
"4244",2016,53,"Aleppo",9
"4245",2016,53,"Raqqa",6
"4246",2016,53,"Sweida",0
"4247",2016,53,"Damascus",1
"4248",2016,53,"Daraa",14
"4249",2016,53,"Deir.Ezzor",6
"4250",2016,53,"Hama",1
"4251",2016,53,"Homs",3
"4252",2016,53,"Idlib",8
"4253",2016,53,"Lattakia",1
"4254",2016,53,"Quneitra",0
"4255",2016,53,"Damascus.Suburbs",19
"4256",2016,53,"Tartous",0
"4257",2017,1,"Hasakeh",0
"4258",2017,1,"Aleppo",40
"4259",2017,1,"Raqqa",0
"4260",2017,1,"Sweida",0
"4261",2017,1,"Damascus",1
"4262",2017,1,"Daraa",9
"4263",2017,1,"Deir.Ezzor",24
"4264",2017,1,"Hama",4
"4265",2017,1,"Homs",9
"4266",2017,1,"Idlib",16
"4267",2017,1,"Lattakia",0
"4268",2017,1,"Quneitra",1
"4269",2017,1,"Damascus.Suburbs",49
"4270",2017,1,"Tartous",0
"4271",2017,2,"Hasakeh",0
"4272",2017,2,"Aleppo",75
"4273",2017,2,"Raqqa",2
"4274",2017,2,"Sweida",0
"4275",2017,2,"Damascus",9
"4276",2017,2,"Daraa",18
"4277",2017,2,"Deir.Ezzor",17
"4278",2017,2,"Hama",4
"4279",2017,2,"Homs",11
"4280",2017,2,"Idlib",18
"4281",2017,2,"Lattakia",0
"4282",2017,2,"Quneitra",0
"4283",2017,2,"Damascus.Suburbs",48
"4284",2017,2,"Tartous",0
"4285",2017,3,"Hasakeh",0
"4286",2017,3,"Aleppo",61
"4287",2017,3,"Raqqa",1
"4288",2017,3,"Sweida",0
"4289",2017,3,"Damascus",0
"4290",2017,3,"Daraa",10
"4291",2017,3,"Deir.Ezzor",46
"4292",2017,3,"Hama",5
"4293",2017,3,"Homs",22
"4294",2017,3,"Idlib",13
"4295",2017,3,"Lattakia",0
"4296",2017,3,"Quneitra",0
"4297",2017,3,"Damascus.Suburbs",28
"4298",2017,3,"Tartous",2
"4299",2017,4,"Hasakeh",0
"4300",2017,4,"Aleppo",35
"4301",2017,4,"Raqqa",0
"4302",2017,4,"Sweida",0
"4303",2017,4,"Damascus",1
"4304",2017,4,"Daraa",8
"4305",2017,4,"Deir.Ezzor",30
"4306",2017,4,"Hama",2
"4307",2017,4,"Homs",11
"4308",2017,4,"Idlib",12
"4309",2017,4,"Lattakia",0
"4310",2017,4,"Quneitra",0
"4311",2017,4,"Damascus.Suburbs",17
"4312",2017,4,"Tartous",0
"4313",2017,5,"Hasakeh",0
"4314",2017,5,"Aleppo",83
"4315",2017,5,"Raqqa",0
"4316",2017,5,"Sweida",0
"4317",2017,5,"Damascus",4
"4318",2017,5,"Daraa",40
"4319",2017,5,"Deir.Ezzor",19
"4320",2017,5,"Hama",4
"4321",2017,5,"Homs",11
"4322",2017,5,"Idlib",10
