year,week,province,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total
2011,18,Damascus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,18,Damascus Suburbs,3,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4
2011,18,Daraa,16,1,0,15,0,2,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,17
2011,18,Deir Ezzor,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
2011,18,Hama,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
2011,18,Hasakeh,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,18,Homs,23,1,1,16,0,7,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,24
2011,18,Idlib,14,4,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,18
2011,18,Lattakia,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
2011,18,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,18,Raqqa,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,18,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,18,Tartous,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
2011,19,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Damascus,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,19,Damascus Suburbs,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2011,19,Daraa,36,1,6,31,0,0,0,0,0,0,0,6,0,0,0,1,0,30,0,0,0,0,37
2011,19,Deir Ezzor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Hama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Homs,23,2,2,23,0,0,0,0,1,0,0,3,0,0,0,0,0,21,0,0,0,0,25
2011,19,Idlib,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,19,Lattakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,Tartous,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,20,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,20,Damascus,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
2011,20,Damascus Suburbs,10,3,0,11,0,2,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,13
2011,20,Daraa,42,1,2,35,1,5,0,2,7,0,0,5,0,0,0,0,0,29,0,0,0,0,43
2011,20,Deir Ezzor,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,6
2011,20,Hama,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
2011,20,Hasakeh,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,20,Homs,74,1,0,72,0,3,0,0,3,1,0,13,0,0,0,0,2,56,0,0,0,0,75
2011,20,Idlib,36,4,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40
2011,20,Lattakia,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
2011,20,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
