year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,33,Sweida,0.0,0.0,0.0,0.0
2011,33,Tartous,0.0,0.0,0.0,0.0
2011,34,Aleppo,0.0,0.0,0.0,0.0
2011,34,Damascus,0.0,3.0,0.0,0.0
2011,34,Damascus Suburbs,0.0,6.0,0.0,1.0
2011,34,Daraa,0.0,3.0,0.0,1.0
2011,34,Deir Ezzor,0.0,10.0,0.0,2.0
2011,34,Hama,0.0,8.0,0.0,0.0
2011,34,Hasakeh,0.0,0.0,0.0,0.0
2011,34,Homs,0.0,18.0,0.0,1.0
2011,34,Idlib,0.0,12.0,0.0,1.0
2011,34,Lattakia,1.0,6.0,0.0,0.0
2011,34,Quneitra,0.0,0.0,0.0,0.0
2011,34,Raqqa,0.0,0.0,0.0,0.0
2011,34,Sweida,0.0,0.0,0.0,0.0
2011,34,Tartous,0.0,0.0,0.0,0.0
2011,35,Aleppo,0.0,7.0,0.0,0.0
2011,35,Damascus,0.0,3.0,0.0,0.0
2011,35,Damascus Suburbs,2.0,17.0,0.0,2.0
2011,35,Daraa,0.0,44.0,2.0,1.0
2011,35,Deir Ezzor,0.0,12.0,2.0,0.0
2011,35,Hama,0.0,7.0,0.0,0.0
2011,35,Hasakeh,0.0,0.0,0.0,0.0
2011,35,Homs,3.0,33.0,2.0,2.0
2011,35,Idlib,2.0,20.0,0.0,2.0
2011,35,Lattakia,0.0,0.0,0.0,0.0
2011,35,Quneitra,0.0,0.0,0.0,0.0
2011,35,Raqqa,0.0,0.0,0.0,0.0
2011,35,Sweida,0.0,0.0,0.0,0.0
2011,35,Tartous,0.0,0.0,0.0,0.0
2011,36,Aleppo,0.0,1.0,0.0,0.0
2011,36,Damascus,0.0,3.0,0.0,0.0
2011,36,Damascus Suburbs,0.0,6.0,0.0,2.0
2011,36,Daraa,1.0,6.0,0.0,1.0
2011,36,Deir Ezzor,1.0,4.0,0.0,0.0
2011,36,Hama,0.0,9.0,0.0,2.0
2011,36,Hasakeh,0.0,0.0,0.0,0.0
2011,36,Homs,2.0,48.0,2.0,3.0
2011,36,Idlib,0.0,15.0,0.0,1.0
2011,36,Lattakia,0.0,4.0,0.0,0.0
2011,36,Quneitra,0.0,0.0,0.0,0.0
2011,36,Raqqa,0.0,0.0,0.0,0.0
2011,36,Sweida,0.0,0.0,0.0,0.0
2011,36,Tartous,0.0,0.0,0.0,0.0
2011,37,Aleppo,0.0,2.0,0.0,0.0
2011,37,Damascus,0.0,3.0,0.0,2.0
2011,37,Damascus Suburbs,0.0,12.0,0.0,3.0
2011,37,Daraa,0.0,13.0,0.0,2.0
2011,37,Deir Ezzor,2.0,9.0,0.0,0.0
2011,37,Hama,4.0,69.0,0.0,4.0
2011,37,Hasakeh,0.0,0.0,0.0,0.0
2011,37,Homs,1.0,37.0,0.0,4.0
2011,37,Idlib,2.0,37.0,0.0,4.0
2011,37,Lattakia,0.0,3.0,0.0,2.0
2011,37,Quneitra,0.0,0.0,0.0,0.0
2011,37,Raqqa,0.0,0.0,0.0,0.0
2011,37,Sweida,0.0,0.0,0.0,0.0
2011,37,Tartous,0.0,0.0,0.0,0.0
2011,38,Aleppo,0.0,4.0,0.0,0.0
2011,38,Damascus,0.0,1.0,0.0,0.0
2011,38,Damascus Suburbs,0.0,9.0,0.0,0.0
2011,38,Daraa,1.0,2.0,0.0,0.0
2011,38,Deir Ezzor,0.0,0.0,0.0,0.0
2011,38,Hama,0.0,11.0,0.0,1.0
2011,38,Hasakeh,0.0,1.0,0.0,0.0
2011,38,Homs,4.0,44.0,1.0,4.0
2011,38,Idlib,0.0,8.0,0.0,0.0
2011,38,Lattakia,0.0,1.0,0.0,0.0
2011,38,Quneitra,0.0,0.0,0.0,0.0
2011,38,Raqqa,0.0,0.0,0.0,0.0
2011,38,Sweida,0.0,1.0,0.0,0.0
2011,38,Tartous,0.0,0.0,0.0,0.0
2011,39,Aleppo,0.0,1.0,0.0,0.0
2011,39,Damascus,0.0,4.0,0.0,0.0
2011,39,Damascus Suburbs,0.0,5.0,0.0,0.0
2011,39,Daraa,0.0,8.0,0.0,0.0
2011,39,Deir Ezzor,0.0,1.0,0.0,0.0
2011,39,Hama,0.0,18.0,0.0,3.0
2011,39,Hasakeh,0.0,0.0,0.0,0.0
2011,39,Homs,4.0,60.0,0.0,3.0
2011,39,Idlib,0.0,12.0,0.0,1.0
2011,39,Lattakia,0.0,0.0,0.0,0.0
2011,39,Quneitra,0.0,0.0,0.0,0.0
2011,39,Raqqa,0.0,0.0,0.0,0.0
2011,39,Sweida,0.0,0.0,0.0,0.0
2011,39,Tartous,0.0,1.0,0.0,0.0
2011,40,Aleppo,0.0,0.0,0.0,0.0
2011,40,Damascus,0.0,0.0,0.0,0.0
2011,40,Damascus Suburbs,0.0,13.0,0.0,2.0
2011,40,Daraa,0.0,2.0,0.0,1.0
2011,40,Deir Ezzor,0.0,1.0,0.0,0.0
2011,40,Hama,0.0,17.0,0.0,0.0
2011,40,Hasakeh,0.0,3.0,0.0,0.0
2011,40,Homs,2.0,54.0,1.0,3.0
2011,40,Idlib,0.0,9.0,0.0,0.0
2011,40,Lattakia,0.0,5.0,0.0,0.0
2011,40,Quneitra,0.0,0.0,0.0,0.0
2011,40,Raqqa,0.0,0.0,0.0,0.0
2011,40,Sweida,0.0,0.0,0.0,0.0
2011,40,Tartous,0.0,4.0,0.0,0.0
2011,41,Aleppo,0.0,2.0,0.0,1.0
2011,41,Damascus,0.0,3.0,0.0,1.0
2011,41,Damascus Suburbs,0.0,3.0,0.0,0.0
2011,41,Daraa,0.0,5.0,0.0,1.0
2011,41,Deir Ezzor,0.0,2.0,0.0,0.0
2011,41,Hama,0.0,1.0,0.0,0.0
2011,41,Hasakeh,0.0,0.0,0.0,0.0
2011,41,Homs,2.0,20.0,2.0,1.0
2011,41,Idlib,1.0,15.0,0.0,1.0
2011,41,Lattakia,0.0,1.0,0.0,0.0
2011,41,Quneitra,0.0,1.0,0.0,0.0
2011,41,Raqqa,0.0,0.0,0.0,0.0
2011,41,Sweida,0.0,0.0,0.0,0.0
2011,41,Tartous,0.0,0.0,0.0,0.0
2011,42,Aleppo,0.0,1.0,0.0,0.0
2011,42,Damascus,0.0,1.0,0.0,0.0
2011,42,Damascus Suburbs,0.0,12.0,0.0,0.0
2011,42,Daraa,0.0,12.0,0.0,0.0
2011,42,Deir Ezzor,0.0,1.0,0.0,0.0
2011,42,Hama,2.0,12.0,0.0,1.0
2011,42,Hasakeh,0.0,0.0,0.0,0.0
2011,42,Homs,3.0,96.0,3.0,3.0
2011,42,Idlib,0.0,9.0,0.0,1.0
2011,42,Lattakia,0.0,0.0,0.0,0.0
2011,42,Quneitra,0.0,0.0,0.0,0.0
2011,42,Raqqa,0.0,0.0,0.0,0.0
2011,42,Sweida,0.0,0.0,0.0,0.0
2011,42,Tartous,0.0,0.0,0.0,0.0
2011,43,Aleppo,0.0,0.0,0.0,0.0
2011,43,Damascus,0.0,2.0,0.0,0.0
2011,43,Damascus Suburbs,0.0,5.0,0.0,1.0
2011,43,Daraa,0.0,5.0,0.0,2.0
2011,43,Deir Ezzor,0.0,2.0,0.0,0.0
2011,43,Hama,2.0,27.0,1.0,3.0
2011,43,Hasakeh,0.0,1.0,0.0,0.0
2011,43,Homs,4.0,58.0,2.0,4.0
2011,43,Idlib,0.0,7.0,0.0,3.0
2011,43,Lattakia,0.0,3.0,0.0,0.0
2011,43,Quneitra,0.0,0.0,0.0,0.0
2011,43,Raqqa,0.0,1.0,0.0,0.0
2011,43,Sweida,0.0,0.0,0.0,0.0
2011,43,Tartous,0.0,0.0,0.0,0.0
2011,44,Aleppo,0.0,2.0,0.0,0.0
2011,44,Damascus,1.0,1.0,0.0,0.0
2011,44,Damascus Suburbs,0.0,12.0,0.0,1.0
2011,44,Daraa,0.0,2.0,0.0,0.0
2011,44,Deir Ezzor,0.0,3.0,0.0,0.0
2011,44,Hama,0.0,16.0,0.0,1.0
2011,44,Hasakeh,0.0,0.0,0.0,0.0
2011,44,Homs,2.0,121.0,0.0,7.0
2011,44,Idlib,0.0,16.0,0.0,0.0
2011,44,Lattakia,0.0,3.0,0.0,0.0
2011,44,Quneitra,0.0,0.0,0.0,0.0
2011,44,Raqqa,0.0,2.0,0.0,0.0
2011,44,Sweida,0.0,0.0,0.0,0.0
2011,44,Tartous,0.0,0.0,0.0,0.0
2011,45,Aleppo,0.0,0.0,0.0,0.0
2011,45,Damascus,0.0,7.0,0.0,0.0
2011,45,Damascus Suburbs,0.0,7.0,0.0,2.0
2011,45,Daraa,0.0,15.0,0.0,2.0
2011,45,Deir Ezzor,0.0,2.0,0.0,1.0
2011,45,Hama,1.0,32.0,0.0,2.0
2011,45,Hasakeh,0.0,1.0,0.0,0.0
2011,45,Homs,3.0,61.0,3.0,3.0
2011,45,Idlib,1.0,17.0,1.0,4.0
2011,45,Lattakia,0.0,1.0,0.0,0.0
2011,45,Quneitra,0.0,0.0,0.0,0.0
2011,45,Raqqa,0.0,0.0,0.0,0.0
2011,45,Sweida,0.0,0.0,0.0,0.0
2011,45,Tartous,0.0,0.0,0.0,0.0
2011,46,Aleppo,0.0,2.0,0.0,0.0
2011,46,Damascus,0.0,0.0,0.0,0.0
2011,46,Damascus Suburbs,0.0,16.0,0.0,4.0
2011,46,Daraa,0.0,39.0,0.0,3.0
2011,46,Deir Ezzor,0.0,6.0,1.0,2.0
2011,46,Hama,3.0,25.0,0.0,2.0
